Event,Reference (Event),ID (Site),ID (Dataset),Site,Longitude,Latitude,Cont,Age min [ka],Age max [ka],Age [ka BP] (median),Age [ka BP] (mean),Reference (AgeModel),Depth [m],July WA-PLS,TTT std err [±] (reconstruction error for mean...),July-MAT,TTT std err [±] (reconstruction error for mean...),Annual WA-PLS,TTT std err [±] (reconstruction error for annu...),Annual-MAT,TTT std err [±] (reconstruction error for annu...),Total precip WA-PLS,Precip annual total err [±] (reconstruction error with WA-...),Total precip MAT,Precip annual total err [±] (reconstruction error for annu...),T air (7) [°C] (reconstructed mean from July ...),TTT std err [±] (reconstruction error for mean...),Precip annual total [mm/a] (reconstructed from July tempe...),Precip annual total err [±] (reconstruction error for annu...),MAAT [°C] (reconstructed from annual mea...),TTT std err [±] (reconstruction error for annu...),Precip annual total [mm/a] (reconstructed from annual mea...),Precip annual total err [±] (reconstruction error for annu...),T air (7) [°C] (reconstructed mean July tempe...),TTT std err [±] (reconstruction error for mean...),MAAT [°C] (reconstructed from annual pre...),TTT std err [±] (reconstruction error for annu...),Precip annual total [mm/a] (reconstructed from annual pre...),Precip annual total err [±] (reconstruction error for annu...),Elevation (masl),Type of data,Location type
LUANHAILH2,Cao et al.,158,100158,Luanhaizi LH2,101.35,37.593333,Asia,-0.09,0,-0.01,-0.01,AWI,0,12.2,4.24,10.3,3.52,-2.4,3.99,-3.1,3.39,313,161.27,380,139.16,11.3,2.28,332,129.97,-1.7,1.59,354,118.2,12.4,3.88,-2.9,3.17,304,49.12,3200,Raw,Lake
LUANHAILH2,Cao et al.,158,100158,Luanhaizi LH2,101.35,37.593333,Asia,0,0.51,0.19,0.21,AWI,12.4,12.6,4.24,12.3,3.51,-1.9,3.99,-1.6,3.31,307,161.25,290,136.28,11.3,2.27,320,129.88,-1.8,1.59,317,118.22,13.2,3.87,-1.9,3.16,295,49.07,3200,Raw,Lake
LUANHAILH2,Cao et al.,158,100158,Luanhaizi LH2,101.35,37.593333,Asia,0.08,0.95,0.42,0.45,AWI,26.4,13.7,4.24,12,3.49,-0.8,3.99,-3.6,3.29,286,161.22,201,133.34,11.2,2.28,290,129.95,-1.7,1.59,306,118.16,12.9,3.87,-1.7,3.16,288,49.05,3200,Raw,Lake
LUANHAILH2,Cao et al.,158,100158,Luanhaizi LH2,101.35,37.593333,Asia,0.14,1.02,0.55,0.56,AWI,33.5,13,4.24,12.9,3.48,-1.3,3.98,-3.2,3.28,305,161.2,193,134.47,11.3,2.27,311,129.82,-1.8,1.58,310,118.08,12.9,3.87,-1.7,3.16,293,48.94,3200,Raw,Lake
LUANHAILH2,Cao et al.,158,100158,Luanhaizi LH2,101.35,37.593333,Asia,0.15,1.03,0.56,0.57,AWI,34,13.2,4.24,11.8,3.44,-0.9,3.99,-3.6,3.27,336,161.22,198,133.75,11.3,2.27,336,129.87,-1.7,1.58,343,118.1,12.8,3.87,-1.8,3.17,302,49.01,3200,Raw,Lake
LUANHAILH2,Cao et al.,158,100158,Luanhaizi LH2,101.35,37.593333,Asia,0.25,1.22,0.77,0.75,AWI,45.1,12,4.24,12.3,3.41,-2.1,3.98,-3.8,3.3,302,161.22,223,135.01,10.9,2.27,298,129.86,-2.1,1.59,293,118.18,12,3.87,-2.3,3.16,298,48.95,3200,Raw,Lake
LUANHAILH2,Cao et al.,158,100158,Luanhaizi LH2,101.35,37.593333,Asia,0.45,1.29,0.94,0.93,AWI,56.2,14.2,4.24,12.4,3.48,-0.4,3.98,-3.8,3.41,312,161.22,210,135.95,11.5,2.28,321,129.89,-1.6,1.58,331,118.08,14.3,3.87,-0.9,3.16,300,48.96,3200,Raw,Lake
LUANHAILH2,Cao et al.,158,100158,Luanhaizi LH2,101.35,37.593333,Asia,0.62,1.41,1.14,1.1,AWI,67.2,13.4,4.24,12.6,3.57,-1.1,3.98,-4.5,3.41,312,161.21,180,131.98,11.6,2.27,328,129.85,-1.6,1.59,318,118.17,14.4,3.87,-0.7,3.16,299,49,3200,Raw,Lake
LUANHAILH2,Cao et al.,158,100158,Luanhaizi LH2,101.35,37.593333,Asia,1.12,1.46,1.3,1.3,AWI,78.3,13.9,4.24,12,3.52,-0.4,3.98,-2.7,3.33,310,161.21,251,136.52,11.4,2.28,322,129.92,-1.5,1.59,334,118.12,13.6,3.87,-1,3.16,300,49.01,3200,Raw,Lake
LUANHAILH2,Cao et al.,158,100158,Luanhaizi LH2,101.35,37.593333,Asia,1.41,1.96,1.6,1.62,AWI,89.4,13.4,4.24,12.3,3.47,-0.7,3.99,-3.2,3.3,326,161.27,186,135.78,11.4,2.27,318,129.86,-1.9,1.59,325,118.09,14.1,3.87,-0.7,3.17,301,48.99,3200,Raw,Lake
